Air_temperature_K_,Rotational_speed_rpm_,Torque_Nm_,Tool_wear_min_,TWF,HDF,PWF,OSF,RNF,Type_encoded
300.2,1429,57.4,133,0,0,0,0,0,1
298.4,1421,50.3,98,0,0,0,0,0,3
298.3,1426,49.4,88,0,0,0,0,0,1
298.8,1569,36.1,43,0,0,0,0,0,1
298.2,1607,32.8,156,0,0,0,0,0,1
296.9,1491,38.3,84,0,0,0,0,0,2
302.5,1376,32.6,156,0,0,0,0,0,1
300.9,1443,41.4,102,0,0,0,0,0,2
298.7,1487,42.1,186,0,0,0,0,0,1
300.6,1685,28.7,15,0,0,0,0,0,2
300.1,1531,40.6,45,0,0,0,0,0,1
297.4,1548,35.5,7,0,0,0,0,0,1
302.3,1395,47.1,171,0,0,0,0,0,1
298.3,1315,60.8,166,0,0,0,0,0,1
298.5,1301,47.6,112,0,0,0,0,0,1
300.3,1692,28.5,113,0,0,0,0,0,1
299.3,1515,37.2,96,0,0,0,0,0,1
298.1,1557,37.3,191,0,0,0,0,0,2
300.7,1567,36.2,176,0,0,0,0,0,1
300.2,1755,27.9,49,0,0,0,0,0,2
300.3,1356,44.4,154,0,0,0,0,0,1
300.5,1317,56.1,182,0,0,0,0,0,1
298.5,1404,42.7,2,0,0,0,0,0,1
302.9,1560,37.9,112,0,0,0,0,0,1
302.2,1627,36.8,43,0,0,0,0,0,1
297.8,1515,23.0,176,0,0,0,0,0,1
300.9,1412,57.5,15,0,0,0,0,0,1
302.3,1523,38.9,72,0,0,0,0,0,2
299.3,1527,33.7,99,0,0,0,0,0,1
299.1,1432,49.8,94,0,0,0,0,0,2
297.6,1525,38.1,101,0,0,0,0,0,2
298.4,1378,45.2,125,0,0,0,0,0,2
302.3,1582,42.7,75,0,0,0,0,0,1
302.4,1462,37.6,163,0,0,0,0,0,1
302.0,1432,43.1,137,0,0,0,0,0,1
300.3,1369,48.5,36,0,0,0,0,0,1
299.0,1633,34.2,87,0,0,0,0,0,1
301.4,1363,45.3,188,0,0,0,0,0,1
298.5,1446,40.4,115,0,0,0,0,0,1
295.6,1428,44.5,193,0,0,0,0,0,1
301.0,1493,45.8,57,0,0,0,0,0,1
301.7,1543,38.7,7,0,0,0,0,0,2
301.7,1528,30.7,185,0,0,0,0,0,1
297.6,1316,58.7,22,0,0,0,0,0,1
297.1,1527,35.7,64,0,0,0,0,0,1
302.7,1563,39.9,195,0,0,0,0,0,1
302.4,1563,40.3,186,0,0,0,0,0,1
303.6,1558,37.7,206,0,0,0,0,0,2
300.2,1629,32.7,54,0,0,0,0,0,2
301.3,1538,35.5,15,0,0,0,0,0,1
299.3,1452,42.1,67,0,0,0,0,0,2
300.2,1433,50.0,0,0,0,0,0,0,1
299.6,1412,47.4,59,0,0,0,0,0,2
297.6,1552,40.9,2,0,0,0,0,0,2
300.6,1540,36.2,74,0,0,0,0,0,1
297.3,1419,42.4,23,0,0,0,0,0,3
299.0,1388,35.8,192,0,0,0,0,0,1
298.2,1446,43.9,34,0,0,0,0,0,1
297.0,1494,42.4,112,0,0,0,0,0,2
298.9,1513,41.5,80,0,0,0,0,0,2
300.4,1595,35.4,74,0,0,0,0,0,2
297.3,1518,47.3,59,0,0,0,0,0,1
298.1,1373,42.2,157,0,0,0,0,0,1
299.3,1470,50.7,118,0,0,0,0,0,1
297.3,1551,52.7,125,0,0,0,0,0,1
300.8,1815,27.2,150,0,0,0,0,0,2
298.8,1528,42.3,144,0,0,0,0,0,1
300.1,1557,33.1,19,0,0,0,0,0,1
298.8,1345,49.1,57,0,0,0,0,0,2
297.8,1453,42.5,129,0,0,0,0,0,2
300.5,1754,29.9,125,0,0,0,0,0,1
301.0,1475,48.2,188,0,0,0,0,0,3
300.8,1439,54.5,138,0,0,0,0,0,3
302.2,1472,39.7,63,0,0,0,0,0,1
302.4,1538,41.8,155,0,0,0,0,0,1
301.8,1444,46.2,227,0,0,0,0,0,1
300.2,1543,37.0,179,0,0,0,0,0,1
300.5,1539,37.7,210,0,0,0,0,0,1
300.7,1397,50.5,166,0,0,0,0,0,1
303.0,1419,48.5,7,0,0,0,0,0,3
299.2,1393,39.1,25,0,0,0,0,0,1
301.2,1539,38.5,181,0,0,0,0,0,1
298.1,1416,46.5,47,0,0,0,0,0,2
298.5,1623,33.7,160,0,0,0,0,0,2
299.6,1630,35.3,49,0,0,0,0,0,2
300.5,1655,31.1,151,0,0,0,0,0,1
300.3,1494,41.6,182,0,0,0,0,0,1
298.2,1406,49.0,166,0,0,0,0,0,1
298.0,1469,46.5,201,0,0,0,0,0,1
303.6,1459,46.5,44,0,0,0,0,0,3
297.7,1412,43.0,26,0,0,0,0,0,1
301.7,1357,54.0,129,0,0,0,0,0,2
297.3,1677,30.2,0,0,0,0,0,0,3
297.2,1372,54.6,49,0,0,0,0,0,1
298.7,1513,44.8,2,0,0,0,0,0,1
299.4,1492,45.7,104,0,0,0,0,0,2
300.7,1449,44.4,33,0,0,0,0,0,1
297.4,1524,34.9,193,0,0,0,0,0,1
298.5,1495,37.9,130,0,0,0,0,0,2
302.0,1456,58.4,145,0,0,0,0,0,1
303.7,1469,44.1,188,0,0,0,0,0,2
298.4,1469,46.6,173,0,0,0,0,0,1
301.0,1470,37.9,2,0,0,0,0,0,1
300.2,1671,36.1,100,0,0,0,0,0,1
298.1,1597,33.4,113,0,0,0,0,0,1
297.4,1548,46.6,7,0,0,0,0,0,1
297.8,1389,44.2,4,0,0,0,0,0,1
300.0,1828,24.0,185,0,0,0,0,0,2
297.2,1490,34.6,188,0,0,0,0,0,1
301.8,1680,28.9,59,0,0,0,0,0,1
302.0,1469,39.4,173,0,0,0,0,0,1
301.7,1555,36.8,196,0,0,0,0,0,1
301.0,1889,23.5,176,0,0,0,0,0,1
300.8,1753,29.0,204,0,0,0,0,0,1
300.4,1716,28.1,54,0,0,0,0,0,1
299.8,1434,51.3,176,0,0,0,0,0,1
300.8,1689,39.0,151,0,0,0,0,0,1
296.6,1459,40.2,96,0,0,0,0,0,1
297.6,1528,39.2,202,0,0,0,0,0,1
300.7,1525,44.1,80,0,0,0,0,0,1
301.7,1443,40.6,139,0,0,0,0,0,2
300.1,1330,61.4,146,0,0,0,0,0,2
300.3,1455,43.2,115,0,0,0,0,0,1
299.2,1525,34.4,32,0,0,0,0,0,1
298.1,1425,42.6,137,0,0,0,0,0,1
298.3,1517,37.5,108,0,0,0,0,0,1
299.1,1704,31.0,104,0,0,0,0,0,3
298.6,1413,41.1,103,0,0,0,0,0,2
301.0,1630,30.8,60,0,0,0,0,0,1
297.6,1448,44.6,218,0,0,0,0,0,2
300.3,1525,49.4,128,0,0,0,0,0,1
303.5,1459,40.3,73,0,0,0,0,0,1
300.1,1617,45.7,47,0,0,0,0,0,2
297.9,1435,41.4,57,0,0,0,0,0,2
300.6,1530,48.0,203,0,0,0,0,0,1
301.2,1434,39.7,12,0,0,0,0,0,1
298.0,1435,44.4,17,0,0,0,0,0,1
298.5,1390,52.6,39,0,0,0,0,0,1
302.3,1521,38.1,33,0,0,0,0,0,2
299.2,1715,33.2,219,0,0,0,0,0,1
300.9,1471,39.3,107,0,0,0,0,0,1
302.2,1428,45.1,16,0,0,0,0,0,1
300.5,1469,41.2,106,0,0,0,0,0,1
299.2,1462,43.4,2,0,0,0,0,0,1
301.7,1517,33.4,115,0,0,0,0,0,1
299.0,1365,56.7,114,0,0,0,0,0,1
300.3,1495,38.6,195,0,0,0,0,0,1
303.0,1566,36.7,156,0,0,0,0,0,2
302.4,1504,38.0,27,0,0,0,0,0,1
300.8,1424,49.7,129,0,0,0,0,0,1
302.6,1402,54.8,198,0,0,0,0,0,1
298.6,1422,42.1,66,0,0,0,0,0,1
298.9,1487,44.0,179,0,0,0,0,0,1
301.0,1518,40.2,104,0,0,0,0,0,2
300.8,1514,34.6,171,0,0,0,0,0,1
297.4,1569,33.2,104,0,0,0,0,0,2
299.1,1470,50.3,108,0,0,0,0,0,1
297.0,1385,51.0,126,0,0,0,0,0,1
301.9,1568,38.3,62,0,0,0,0,0,1
298.2,1426,46.8,160,0,0,0,0,0,1
301.5,1577,36.7,91,0,0,0,0,0,2
301.3,1533,39.5,9,0,0,0,0,0,1
302.1,1642,30.8,39,0,0,0,0,0,2
302.3,1566,37.4,94,0,0,0,0,0,1
303.0,1594,38.9,5,0,0,0,0,0,1
300.3,1688,32.3,36,0,0,0,0,0,1
301.9,1443,48.0,94,0,0,0,0,0,1
301.5,1462,43.9,148,0,0,0,0,0,1
299.7,1772,25.7,199,0,0,0,0,0,1
297.3,1582,30.9,156,0,0,0,0,0,1
297.3,1475,46.6,206,0,0,0,0,0,2
297.6,1553,40.5,135,0,0,0,0,0,1
297.3,1504,45.6,148,0,0,0,0,0,1
300.8,1597,32.0,5,0,0,0,0,0,1
297.2,1378,47.7,113,0,0,0,0,0,3
298.1,1435,45.9,194,0,0,0,0,0,2
298.3,1472,44.0,140,0,0,0,0,0,1
301.3,1569,48.6,72,0,0,0,0,0,1
300.8,1520,36.2,144,0,0,0,0,0,1
300.4,1624,34.6,170,0,0,0,0,0,1
303.9,1426,44.7,137,0,0,0,0,0,2
300.7,1465,42.4,51,0,0,0,0,0,2
297.6,1274,59.8,7,0,0,0,0,0,1
303.3,1699,30.5,163,0,0,0,0,0,2
297.2,1329,55.2,121,0,0,0,0,0,1
298.0,1401,58.4,65,0,0,0,0,1,1
298.5,1488,41.5,7,0,0,0,0,0,2
300.3,1481,43.9,104,0,0,0,0,0,1
299.3,1468,43.2,201,0,0,0,0,0,1
298.8,1602,39.1,0,0,0,0,0,0,1
297.6,1324,59.2,119,0,0,0,0,0,1
300.7,1480,42.0,184,0,0,0,0,0,1
299.9,1430,49.7,16,0,0,0,0,0,1
297.9,1556,34.0,104,0,0,0,0,0,3
302.3,1493,37.8,171,0,0,0,0,0,1
302.1,1591,37.3,38,0,0,0,0,0,1
297.2,1638,31.0,24,0,0,0,0,0,2
302.5,1549,36.0,69,0,0,0,0,0,2
301.4,1662,28.0,158,0,0,0,0,0,3
303.8,1412,49.9,188,0,0,0,0,0,1
301.2,1365,53.4,0,0,0,0,0,0,2
303.5,1547,40.3,73,0,0,0,0,0,1
300.0,1604,32.4,115,0,0,0,0,0,2
297.3,1584,34.9,144,0,0,0,0,0,2
300.3,2057,16.3,139,0,0,0,0,0,1
297.4,1692,27.1,156,0,0,0,0,0,3
304.4,1607,33.5,5,0,0,0,0,0,1
298.9,1541,38.2,106,0,0,0,0,0,1
300.6,1480,42.7,124,0,0,0,0,0,3
300.7,1440,40.1,148,0,0,0,0,0,1
300.4,1330,59.3,187,0,0,0,1,0,2
298.4,1548,34.5,117,0,0,0,0,0,1
297.6,1515,39.8,70,0,0,0,0,0,1
298.3,1566,37.8,0,0,0,0,0,0,1
299.0,1665,31.4,179,0,0,0,0,0,1
300.6,1432,48.0,127,0,0,0,0,0,2
298.7,1581,30.7,14,0,0,0,0,0,1
298.2,1601,34.6,97,0,0,0,0,0,2
298.9,1444,51.7,183,0,0,0,0,0,1
297.2,1478,35.8,95,0,0,0,0,0,1
297.0,1419,45.2,179,0,0,0,0,0,1
303.8,1393,46.6,147,0,0,0,0,0,1
297.3,1362,44.2,156,0,0,0,0,0,1
301.2,1470,44.2,106,0,0,0,0,0,1
297.0,1446,43.1,128,0,0,0,0,0,1
300.8,1470,40.6,188,0,0,0,0,0,1
301.5,1429,44.0,63,0,0,0,0,0,1
301.6,1556,39.8,9,0,0,0,0,0,1
297.3,1469,41.0,16,0,0,0,0,0,1
299.0,1375,55.2,103,0,0,0,0,0,1
302.3,1466,44.3,171,0,0,0,0,0,2
300.8,1590,36.5,25,0,0,0,0,0,1
300.4,1477,42.8,62,0,0,0,0,0,1
297.3,1642,36.9,206,0,0,0,0,0,2
300.1,1441,43.7,141,0,0,0,0,0,1
298.1,1386,48.6,82,0,0,0,0,0,2
297.3,1448,54.3,83,0,0,0,0,0,1
300.5,1496,39.5,191,0,0,0,0,0,1
297.5,1360,48.6,2,0,0,0,0,0,2
298.0,1535,37.8,31,0,0,0,0,0,1
300.7,1487,36.1,50,0,0,0,0,0,2
297.5,1418,50.1,119,0,0,0,0,0,1
300.5,1471,42.3,141,0,0,0,0,0,2
296.7,1478,45.4,174,0,0,0,0,0,3
299.0,2047,20.3,100,0,0,0,0,0,1
298.1,1608,22.5,132,0,0,0,0,0,3
302.4,1820,23.2,197,0,0,0,0,0,1
302.4,1449,45.5,193,0,0,0,0,0,2
298.2,1432,48.6,219,0,0,0,0,0,2
300.6,1514,39.4,159,0,0,0,0,0,1
302.3,1557,35.0,35,0,0,0,0,0,2
300.1,1476,42.6,14,0,0,0,0,0,1
301.4,1656,31.7,157,0,0,0,0,0,2
299.5,1548,41.0,68,0,0,0,0,0,3
298.8,1445,43.5,166,0,0,0,0,0,1
301.5,1604,31.8,7,0,0,0,0,0,2
302.7,1688,32.9,20,0,0,0,0,0,3
297.5,1546,37.5,0,0,0,0,0,0,1
298.9,1441,42.9,7,0,0,0,0,0,1
297.8,1422,48.1,20,0,0,0,0,0,2
299.2,1506,37.6,96,0,0,0,0,0,2
298.8,1627,29.7,64,0,0,0,0,0,1
300.5,1480,40.0,44,0,0,0,0,0,1
300.3,1396,52.4,37,0,0,0,0,0,1
300.1,1428,47.7,176,0,0,0,0,0,1
298.9,1351,27.5,27,0,0,0,0,0,2
301.0,1435,47.0,202,0,0,0,0,0,1
303.1,1386,47.5,195,0,0,0,0,0,1
301.5,1819,24.9,156,0,0,0,0,0,1
301.4,1441,44.1,171,0,0,0,0,0,1
300.4,1444,46.7,211,0,0,0,0,0,1
300.7,1366,55.1,193,0,0,0,0,0,3
299.0,1767,25.6,142,0,0,0,0,0,1
299.9,1436,46.5,158,0,0,0,0,0,1
300.0,1927,24.6,132,0,0,0,0,0,1
302.4,1574,34.9,154,0,0,0,0,0,1
300.2,1628,31.6,47,0,0,0,0,0,1
302.9,1551,32.7,192,0,0,0,0,0,2
297.4,1524,43.1,73,0,0,0,0,0,1
300.4,1606,34.3,48,0,0,0,0,0,1
298.1,1449,44.1,68,0,0,0,0,0,1
300.2,1356,40.9,32,0,0,0,0,0,2
301.0,1281,65.9,197,0,0,0,0,0,2
298.2,1544,49.4,209,0,0,0,0,0,1
301.8,1405,48.7,78,0,0,0,0,0,1
298.1,1364,46.0,136,0,0,0,0,0,1
301.3,1531,53.4,64,0,0,0,0,0,1
297.1,1635,31.3,72,0,0,0,0,0,2
297.8,1429,42.5,146,0,0,0,0,0,3
297.4,1538,36.9,204,1,0,0,0,0,2
300.4,1725,52.5,10,0,0,0,0,0,1
298.4,1559,44.2,131,0,0,0,0,0,1
299.4,1462,40.9,74,0,0,0,0,0,1
303.8,1611,35.7,188,0,0,0,0,0,1
299.4,1642,32.6,124,0,0,0,0,0,1
300.3,1609,33.0,177,0,0,0,0,0,1
297.3,1338,47.2,13,0,0,0,0,0,1
298.7,1820,25.5,175,0,0,0,0,0,2
300.5,1526,40.4,47,0,0,0,0,0,1
298.1,1668,29.3,200,0,0,0,0,0,1
300.2,1555,36.9,172,0,0,0,0,0,1
297.8,1447,48.6,57,0,0,0,0,0,1
298.0,1540,37.9,217,0,0,0,0,0,1
299.9,1844,24.6,112,0,0,0,0,0,2
301.3,1520,42.4,3,0,0,0,0,0,1
300.1,1515,42.8,66,0,0,0,0,0,1
298.3,1578,31.5,108,0,0,0,0,0,1
298.4,1495,32.7,88,0,0,0,0,0,1
300.8,1568,35.0,98,0,0,0,0,0,2
297.5,1318,60.0,57,0,0,0,0,0,1
299.4,1412,42.5,181,0,0,0,0,0,1
297.0,1505,39.4,139,0,0,0,0,0,1
297.2,1599,41.6,116,0,0,0,0,0,2
298.5,1437,41.2,166,0,0,0,0,0,1
297.4,1541,38.8,120,0,0,0,0,0,1
298.2,1331,39.0,13,0,0,0,0,0,1
301.4,1630,30.3,76,0,0,0,0,0,2
301.3,1416,45.2,90,0,0,0,0,0,1
302.4,1456,39.9,215,0,0,0,0,0,1
298.3,1472,43.7,52,0,0,0,0,0,2
298.1,1950,21.7,18,0,0,0,0,0,1
297.9,1529,40.0,26,0,0,0,0,0,1
302.1,1441,30.3,192,0,0,0,0,0,2
300.5,1520,37.9,209,0,0,0,0,0,2
300.1,1760,25.4,131,0,0,0,0,0,1
300.8,1928,21.8,125,0,0,0,0,0,1
298.5,1305,58.5,26,0,0,0,0,0,1
298.3,1578,33.7,41,0,0,0,0,0,2
302.2,1469,43.6,3,0,0,0,0,0,3
304.0,1452,46.0,126,0,0,0,0,0,1
302.8,1363,55.8,228,0,0,0,0,0,1
300.2,1391,42.6,14,0,0,0,0,0,1
300.8,1741,31.2,39,0,0,0,0,0,1
303.7,1395,53.9,64,0,0,0,0,0,1
301.6,1525,42.7,168,0,0,0,0,0,1
298.6,1388,48.3,64,0,0,0,0,0,1
295.9,2496,13.4,72,0,0,0,0,0,1
299.4,1456,42.0,109,0,0,0,0,0,1
301.2,1413,47.3,196,0,0,0,0,0,1
302.1,1627,29.7,213,0,0,0,0,0,2
298.9,1361,51.7,195,0,0,0,0,0,1
303.4,1402,50.7,98,0,0,0,0,0,1
297.4,1312,52.1,124,0,0,0,1,0,1
297.6,1354,55.6,46,0,0,0,0,0,3
302.1,1619,26.1,47,0,0,0,0,0,2
300.9,1617,37.4,146,0,0,0,0,0,2
300.4,1889,26.0,197,0,0,0,0,0,1
300.2,1429,31.1,31,0,0,0,0,0,1
300.5,1566,36.7,52,0,0,0,0,0,1
297.2,1546,45.7,105,0,0,0,0,0,1
300.9,1392,43.0,113,0,0,0,0,0,1
299.4,1481,43.8,37,0,0,0,0,0,1
300.6,1357,51.1,157,0,0,0,0,0,3
302.4,1431,42.8,124,0,0,0,0,0,1
299.8,1685,31.0,89,0,0,0,0,0,1
297.6,1426,62.4,15,0,0,0,0,0,1
298.6,1673,35.0,21,0,0,0,0,0,1
300.9,1477,45.4,140,0,0,0,0,0,1
300.9,1526,31.2,2,0,0,0,0,0,1
297.1,1483,45.4,64,0,0,0,0,0,1
298.7,1462,51.3,125,0,0,0,0,0,1
298.6,1485,39.1,5,0,0,0,0,0,3
300.5,1445,44.6,199,0,0,0,0,0,1
298.9,1501,39.1,65,0,0,0,0,0,1
297.4,1511,38.2,54,0,0,0,0,0,1
303.6,1353,49.0,86,0,0,0,0,0,1
296.9,1563,38.2,13,0,0,0,0,0,1
302.9,1453,49.9,92,0,0,0,0,0,1
300.1,1376,53.1,96,0,0,0,0,0,1
299.1,1447,41.6,5,0,0,0,0,0,1
301.8,1525,37.1,126,0,0,0,0,0,1
297.4,1399,49.8,76,0,0,0,0,0,1
296.9,1636,38.1,135,0,0,0,0,0,1
303.0,1432,46.3,2,0,0,0,0,0,1
300.6,1418,50.5,194,0,0,0,0,0,3
297.1,1403,47.7,22,0,0,0,0,0,2
299.8,1426,45.0,174,0,0,0,0,0,1
303.9,1388,51.5,76,0,0,0,0,0,1
298.9,1608,35.4,18,0,0,0,0,0,1
297.4,1531,35.0,183,0,0,0,0,0,2
298.7,1301,62.7,146,0,0,0,0,0,1
300.9,1418,44.4,112,0,0,0,0,0,1
302.3,1507,47.7,7,0,0,0,0,0,2
300.1,1470,40.2,15,0,0,0,0,0,2
301.4,1649,29.6,0,0,0,0,0,0,1
301.3,1576,34.5,203,0,0,0,0,0,2
296.8,1473,40.3,118,0,0,0,0,0,1
299.4,1621,33.4,174,0,0,0,0,0,1
299.9,1478,38.8,0,0,0,0,0,0,1
295.8,1534,37.9,104,0,0,0,0,0,1
301.6,1821,23.5,137,0,0,0,0,0,1
299.0,1398,28.6,146,0,0,0,0,0,1
297.9,1446,40.0,157,0,0,0,0,0,1
300.6,1489,42.1,187,0,0,0,0,0,1
301.8,1472,46.0,197,0,0,0,0,0,1
303.0,1636,34.9,191,0,0,0,0,0,2
299.4,1427,41.5,29,0,0,0,0,0,1
301.4,1623,34.6,169,0,0,0,0,0,1
299.9,1413,32.8,204,0,0,0,0,0,1
297.1,1527,43.6,98,0,0,0,0,0,1
300.7,1622,30.8,114,0,0,0,0,0,1
296.9,1474,42.0,105,0,0,0,0,0,1
298.6,1362,48.6,39,0,0,0,0,0,3
302.7,1645,31.0,153,0,0,0,0,0,1
299.1,1547,36.1,112,0,0,0,0,0,1
300.7,1517,44.5,192,0,0,0,0,0,1
297.7,1326,53.0,197,0,0,0,1,0,1
297.4,1579,36.4,119,0,0,0,0,0,2
304.0,1423,53.9,127,0,0,0,0,0,1
297.4,1548,48.9,141,0,0,0,0,0,1
301.0,1492,36.7,199,0,0,0,0,0,1
298.6,1449,41.8,177,0,0,0,0,0,1
298.9,1482,47.1,138,0,0,0,0,0,1
300.1,1533,41.2,44,0,0,0,0,0,1
301.0,1523,37.9,15,0,0,0,0,0,1
300.1,1398,54.8,39,0,0,0,0,0,1
295.6,1542,39.3,110,0,0,0,0,0,2
297.2,1529,38.8,156,0,0,0,0,0,1
295.6,1419,40.4,210,0,0,0,0,0,3
303.7,1678,34.6,78,0,0,0,0,0,3
298.2,1439,41.6,76,0,0,0,0,0,1
300.5,1549,38.7,61,0,0,0,0,0,1
298.4,1376,48.0,100,0,0,0,0,0,1
301.0,1376,43.4,133,0,0,0,0,0,1
302.1,2564,12.8,231,0,0,1,0,0,3
300.4,1448,52.1,190,0,0,0,0,0,2
298.0,1536,37.3,120,0,0,0,0,0,1
298.8,1428,41.6,132,0,0,0,0,0,1
300.2,1458,46.6,23,0,0,0,0,0,2
300.8,1453,43.9,84,0,0,0,0,0,1
297.6,1744,31.6,188,0,0,0,0,0,1
301.7,1374,40.6,4,0,0,0,0,0,1
298.9,1560,35.6,43,0,0,0,0,0,1
297.4,1486,33.6,75,0,0,0,0,0,1
300.2,1366,53.6,67,0,0,0,0,0,1
301.3,1580,35.5,171,0,0,0,0,0,2
302.0,1656,30.7,101,0,0,0,0,0,3
301.5,1676,30.0,0,0,0,0,0,0,1
301.4,1520,48.1,189,0,0,0,0,0,1
296.9,1514,38.3,188,0,0,0,0,0,1
297.3,1497,38.1,146,0,0,0,0,0,2
297.4,1613,33.8,176,0,0,0,0,0,1
298.1,1493,41.6,104,0,0,0,0,0,3
300.5,1462,46.2,189,0,0,0,0,0,1
302.3,1479,57.6,23,0,0,0,0,0,1
298.4,1767,27.8,188,0,0,0,0,0,1
297.4,1478,37.7,154,0,0,0,0,0,1
299.0,1616,34.3,156,0,0,0,0,0,1
298.7,1534,40.2,157,0,0,0,0,0,2
300.2,1402,47.5,196,0,0,0,0,0,2
296.9,1540,38.8,164,0,0,0,0,0,2
298.2,1431,47.3,80,0,0,0,0,0,2
298.0,1445,40.8,15,0,0,0,0,0,1
302.9,1435,45.6,17,0,0,0,0,0,2
300.6,1397,45.6,119,0,0,0,0,0,1
301.1,1799,55.8,193,0,0,0,0,0,1
298.3,1767,27.3,100,0,0,0,0,0,1
298.9,1533,37.6,0,0,0,0,0,0,1
297.4,1697,26.5,54,0,0,0,0,0,2
300.6,1430,54.5,84,0,0,0,0,0,1
301.1,1711,30.0,156,0,0,0,0,0,2
301.7,1407,39.1,114,0,0,0,0,0,1
303.9,1481,40.0,33,0,0,0,0,0,2
300.5,1595,31.8,59,0,0,0,0,0,1
297.3,1662,32.0,196,0,0,0,0,0,1
298.7,1336,53.5,127,0,0,0,0,0,1
298.3,1408,54.5,2,0,0,0,0,0,1
302.4,1317,59.4,121,0,0,0,0,0,1
300.3,1429,47.5,19,0,0,0,0,0,1
301.7,1350,51.0,57,0,0,0,0,0,1
297.5,1406,42.8,126,0,0,0,0,0,1
297.5,1449,45.6,31,0,0,0,0,0,2
297.5,1536,29.6,7,0,0,0,0,0,3
301.1,1375,59.1,170,0,0,0,0,0,1
300.6,1378,46.6,180,0,0,0,0,0,2
298.1,1376,55.6,2,0,0,0,0,0,1
302.3,1559,43.4,175,0,0,0,0,0,2
297.7,1715,27.2,119,0,0,0,0,0,1
297.2,1473,39.5,31,0,0,0,0,0,1
302.0,1402,47.9,0,0,0,0,0,0,1
299.1,1693,31.0,65,0,0,0,0,0,1
298.8,1532,42.9,215,0,0,0,0,0,3
303.5,1415,53.9,90,0,0,0,0,0,1
300.1,1439,49.1,17,0,0,0,0,0,1
